game_id,date,season,week,league,away,home,fielding_catches,fielding_runouts,match_played
cricket-t20i-2025-05-02-1483064,2025-05-02,2025,1,T20I,Cyprus,Czech Republic,,1.0,1.0
cricket-t20i-2025-05-03-1483066,2025-05-03,2025,1,T20I,Czech Republic,Cyprus,1.0,1.0,1.0
