game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,targets
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,,,0.0,38.0,5.0,,0.0,54.0,
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,,,0.0,22.0,4.0,,0.0,34.0,
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,,,0.0,44.0,4.0,,0.0,110.0,
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,,,0.0,1.0,2.0,,0.0,5.0,
SYNTHETIC_USFL_W5_NJ,,,5,USFL,,,,,0.0,12.0,3.0,,0.0,44.0,
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,0.0,,0.0,7.0,1.0,,1.0,76.0,
SYNTHETIC_USFL_W7_NJ,,,7,USFL,,,,,0.0,-4.0,2.0,,0.0,,
SYNTHETIC_USFL_W8_NJ,,,8,USFL,,,,,0.0,-1.0,2.0,,0.0,66.0,
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,,0.0,0.0,0.0,0.0,,0.0,62.0,
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,,,0.0,7.0,1.0,,1.0,114.0,
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,,,0.0,12.0,3.0,,0.0,40.0,
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,,0.0,13.0,2.0,7.0,0.0,75.0,2.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,,0.0,6.0,1.0,4.0,1.0,20.0,2.0
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,,,0.0,8.0,1.0,10.0,0.0,22.0,1.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,,,0.0,2.0,1.0,6.0,0.0,32.0,2.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,,,1.0,36.0,1.0,6.0,0.0,19.0,1.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,,0.0,6.0,3.0,7.0,0.0,37.0,3.0
SYNTHETIC_USFL_2023_W3_GENERALS,2023-04-30,2023,3,USFL,PANTHERS,GENERALS,,,0.0,5.0,1.0,,0.0,25.0,
SYNTHETIC_USFL_2023_W4_GENERALS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,,0.0,-3.0,1.0,,1.0,70.0,
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,,,,,,,0.0,52.0,
SYNTHETIC_USFL_2023_W6_GENERALS,2023-05-21,2023,6,USFL,GAMBLERS,GENERALS,,,,,,,0.0,14.0,
SYNTHETIC_USFL_2023_W7_GENERALS,2023-05-28,2023,7,USFL,GENERALS,PANTHERS,,,,,,,0.0,4.0,
SYNTHETIC_USFL_2023_W9_GENERALS,2023-06-11,2023,9,USFL,GENERALS,STARS,,,,,,,1.0,40.0,
