game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,26.0,12.0,18.0,2.0,44.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,35.0,18.0,32.0,2.0,67.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,60.0,17.0,52.0,12.0,112.0,10.0,6.0,1.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,64.0,18.0,56.0,10.0,120.0,13.0,12.0,1.0
