game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,,1.0,,,,,1.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,1.0,2.0,34.0,1.0,3.0,34.0,4.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,2.0,1.0,13.0,,5.0,18.0,3.0
