game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105150SEA,2021-05-15,2021,1,WNBA,LVA,SEA,1.0,,4.0,,0.5,4.0,2.0,,,,,12.85,,-5.0,4.0,4.0,,
WNBA_202105180SEA,2021-05-18,2021,1,WNBA,LVA,SEA,,,,,,,,,,,,4.316666666666666,,-4.0,,,,1.0
WNBA_202105210LVA,2021-05-21,2021,1,WNBA,LAS,LVA,1.0,3.0,3.0,,0.5,2.0,1.0,4.0,,,,18.15,,16.0,2.0,3.0,,3.0
WNBA_202105230LVA,2021-05-23,2021,1,WNBA,CON,LVA,1.0,2.0,1.0,,,2.0,,1.0,,,,9.95,,-18.0,,1.0,,1.0
WNBA_202105260PHO,2021-05-26,2021,1,WNBA,LVA,PHO,,1.0,,,,1.0,,,,,,2.3333333333333335,1.0,-3.0,,1.0,,
WNBA_202105280LVA,2021-05-28,2021,1,WNBA,IND,LVA,,,2.0,,0.25,4.0,1.0,3.0,,,,18.05,,9.0,2.0,2.0,,
WNBA_202105300LVA,2021-05-30,2021,1,WNBA,IND,LVA,,,1.0,,0.333,3.0,1.0,3.0,1.0,6.0,6.0,10.483333333333333,2.0,2.0,8.0,3.0,1.0,1.0
WNBA_202106010CON,2021-06-01,2021,1,WNBA,LVA,CON,,,,,,1.0,,,,,,2.9166666666666665,,,,,,
WNBA_202106050WAS,2021-06-05,2021,1,WNBA,LVA,WAS,,,,,,,,,,,,0.7833333333333333,,-4.0,,,,
WNBA_202106130LVA,2021-06-13,2021,1,WNBA,DAL,LVA,,,,,,,,2.0,,,,3.533333333333333,,2.0,,,1.0,1.0
WNBA_202106150LVA,2021-06-15,2021,1,WNBA,NYL,LVA,1.0,,,,0.5,2.0,1.0,1.0,,,,9.3,,8.0,2.0,,,1.0
WNBA_202106170LVA,2021-06-17,2021,1,WNBA,NYL,LVA,3.0,3.0,2.0,1.0,0.25,4.0,1.0,2.0,0.833,6.0,5.0,16.266666666666666,6.0,16.0,7.0,8.0,,1.0
WNBA_202106250MIN,2021-06-25,2021,1,WNBA,LVA,MIN,,,2.0,,,,,2.0,,,,10.033333333333333,,-17.0,,2.0,,1.0
WNBA_202106270LVA,2021-06-27,2021,1,WNBA,SEA,LVA,,,,,,2.0,,,,,,0.9833333333333333,1.0,-4.0,,1.0,,
WNBA_202106300LAS,2021-06-30,2021,1,WNBA,LVA,LAS,2.0,2.0,3.0,1.0,0.4,5.0,2.0,1.0,,,,20.0,,13.0,4.0,3.0,,2.0
WNBA_202107040LVA,2021-07-04,2021,1,WNBA,ATL,LVA,1.0,,,,,1.0,,1.0,0.75,4.0,3.0,9.733333333333333,2.0,9.0,3.0,2.0,,2.0
WNBA_202107090LVA,2021-07-09,2021,1,WNBA,MIN,LVA,,,2.0,2.0,,3.0,,1.0,,,,6.05,1.0,-3.0,,3.0,,1.0
WNBA_202107110DAL,2021-07-11,2021,1,WNBA,LVA,DAL,4.0,1.0,2.0,,0.5,2.0,1.0,,0.5,2.0,1.0,10.166666666666666,,-1.0,3.0,2.0,,
WNBA_202108240CON,2021-08-24,2021,1,WNBA,LVA,CON,,,,,,,,,,,,1.75,,,,,,
WNBA_202108280IND,2021-08-28,2021,1,WNBA,LVA,IND,1.0,1.0,2.0,,0.667,6.0,4.0,2.0,,,,11.333333333333334,,-2.0,8.0,2.0,1.0,2.0
WNBA_202109020LVA,2021-09-02,2021,1,WNBA,CHI,LVA,2.0,,1.0,,0.5,2.0,1.0,1.0,,,,8.733333333333333,,-5.0,2.0,1.0,,1.0
WNBA_202109050CHI,2021-09-05,2021,1,WNBA,LVA,CHI,,,3.0,,0.5,2.0,1.0,2.0,,,,11.416666666666666,1.0,-14.0,2.0,4.0,,
WNBA_202109080LVA,2021-09-08,2021,1,WNBA,MIN,LVA,,1.0,,,,,,,,,,3.3166666666666664,,1.0,,,,
WNBA_202109170CHI,2021-09-17,2021,1,WNBA,LVA,CHI,3.0,,2.0,,0.25,4.0,1.0,,,,,10.0,1.0,4.0,2.0,3.0,,1.0
WNBA_202109190PHO,2021-09-19,2021,1,WNBA,LVA,PHO,1.0,2.0,,,,2.0,,2.0,,,,10.55,1.0,2.0,,1.0,,
WNBA_202109280LVA,2021-09-28,2021,1,WNBA,PHO,LVA,,,,,,,,,,,,1.45,,-3.0,,,,
WNBA_202109300LVA,2021-09-30,2021,1,WNBA,PHO,LVA,,,1.0,,,1.0,,1.0,,2.0,,7.933333333333334,,-1.0,,1.0,,
WNBA_202110030PHO,2021-10-03,2021,1,WNBA,LVA,PHO,,,,,,1.0,,,,2.0,,2.9,,-2.0,,,,
WNBA_202110060PHO,2021-10-06,2021,1,WNBA,LVA,PHO,,,,,,1.0,,1.0,,,,3.3666666666666667,,-3.0,,,,1.0
