game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-ATX-HTX,2023-04-29,2023,1,AUDL,AUSTIN SOL,HOUSTON HAVOC,1.0,,,22.0,27.0,,1.0,1.0,1.0,1.0,,30.0,3.0,100.0,221.0
2023-05-13-HTX-DAL,2023-05-13,2023,3,AUDL,HOUSTON HAVOC,DALLAS LEGION,2.0,,,17.0,18.0,,3.0,1.0,1.0,11.0,,21.0,3.0,102.0,159.0
2023-05-26-HTX-CAR,2023-05-26,2023,5,AUDL,HOUSTON HAVOC,CAROLINA FLYERS,1.0,,,33.0,33.0,,3.0,2.0,,,,37.0,3.0,143.0,127.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,AUDL,HOUSTON HAVOC,ATLANTA HUSTLE,,1.0,,,,,,,,,1.0,,,,
2023-06-02-HTX-ATX,2023-06-02,2023,6,AUDL,HOUSTON HAVOC,AUSTIN SOL,2.0,,,16.0,18.0,,1.0,,1.0,,,20.0,2.0,-19.0,69.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,AUDL,DALLAS LEGION,HOUSTON HAVOC,,,,,,,,1.0,,,,,,,
2023-06-17-ATX-HTX,2023-06-17,2023,8,AUDL,AUSTIN SOL,HOUSTON HAVOC,1.0,2.0,,16.0,16.0,,2.0,1.0,1.0,2.0,,21.0,3.0,161.0,149.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,AUDL,ATLANTA HUSTLE,HOUSTON HAVOC,1.0,1.0,1.0,13.0,13.0,,1.0,,1.0,4.0,,15.0,1.0,19.0,81.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,AUDL,HOUSTON HAVOC,DALLAS LEGION,,,,25.0,29.0,,,2.0,,,,30.0,1.0,80.0,69.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,AUDL,DALLAS LEGION,HOUSTON HAVOC,1.0,,,18.0,21.0,,,,,1.0,,22.0,1.0,63.0,172.0
2024-04-26-DAL-HTX,2024-04-26,2024,1,UFA,legion,havoc,1.0,1.0,,,,0.0,0.0,,,,,,2.0,36.0,113.0
2024-05-03-HTX-ATX,2024-05-03,2024,2,UFA,havoc,sol,0.0,1.0,,,,1.0,0.0,,,,,,2.0,2.0,44.0
2024-05-18-HTX-DAL,2024-05-18,2024,4,UFA,havoc,legion,2.0,0.0,,,,0.0,1.0,,,,,,1.0,60.0,196.0
2024-05-24-CHI-HTX,2024-05-24,2024,5,UFA,union,havoc,0.0,0.0,,,,0.0,0.0,,,,,,0.0,21.0,51.0
2024-06-01-ATX-HTX,2024-06-01,2024,6,UFA,sol,havoc,2.0,0.0,,,,0.0,2.0,,,,,,2.0,150.0,217.0
2024-06-08-HTX-DAL,2024-06-08,2024,7,UFA,havoc,legion,1.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,3.0
2024-06-14-HTX-ATL,2024-06-14,2024,8,UFA,havoc,hustle,1.0,0.0,,,,0.0,1.0,,,,,,0.0,60.0,125.0
2024-06-15-HTX-CAR,2024-06-15,2024,8,UFA,havoc,flyers,0.0,1.0,,,,0.0,1.0,,,,,,0.0,148.0,105.0
2024-06-22-DAL-HTX,2024-06-22,2024,9,UFA,legion,havoc,0.0,1.0,,,,0.0,1.0,,,,,,3.0,74.0,87.0
2024-06-28-ATL-HTX,2024-06-28,2024,10,UFA,hustle,havoc,1.0,0.0,,,,0.0,0.0,,,,,,3.0,5.0,152.0
2024-07-05-DAL-HTX,2024-07-05,2024,11,UFA,legion,havoc,1.0,3.0,,,,0.0,0.0,,,,,,2.0,-4.0,29.0
2024-07-06-HTX-ATX,2024-07-06,2024,11,UFA,havoc,sol,1.0,0.0,,,,0.0,0.0,,,,,,1.0,123.0,97.0
2025-04-25-ATX-HTX,2025-04-25,2025,1,UFA,sol,havoc,1.0,0.0,,,,0.0,0.0,,,,,,1.0,0.0,78.0
2025-05-02-MAD-HTX,2025-05-02,2025,2,UFA,radicals,havoc,0.0,0.0,,,,0.0,3.0,,,,,,0.0,80.0,30.0
2025-05-10-HTX-ATX,2025-05-10,2025,3,UFA,havoc,sol,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2025-05-16-COL-HTX,2025-05-16,2025,4,UFA,summit,havoc,0.0,0.0,,,,0.0,0.0,,,,,,0.0,38.0,1.0
2025-05-30-HTX-LA,2025-05-30,2025,6,UFA,havoc,aviators,2.0,1.0,,,,0.0,2.0,,,,,,0.0,135.0,280.0
2025-05-31-HTX-SD,2025-05-31,2025,6,UFA,havoc,growlers,0.0,0.0,,,,0.0,2.0,,,,,,1.0,129.0,9.0
2025-06-14-HTX-ATX,2025-06-14,2025,8,UFA,havoc,sol,1.0,0.0,,,,0.0,1.0,,,,,,0.0,174.0,188.0
2025-06-20-HTX-CAR,2025-06-20,2025,9,UFA,havoc,flyers,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
2025-06-21-HTX-ATL,2025-06-21,2025,9,UFA,havoc,hustle,1.0,0.0,,,,0.0,3.0,,,,,,2.0,74.0,131.0
2025-07-05-ATX-HTX,2025-07-05,2025,11,UFA,sol,havoc,0.0,1.0,,,,0.0,1.0,,,,,,1.0,163.0,229.0
2025-07-11-LA-HTX,2025-07-11,2025,12,UFA,aviators,havoc,0.0,0.0,,,,0.0,0.0,,,,,,1.0,10.0,19.0
2025-07-19-CAR-HTX,2025-07-19,2025,13,UFA,flyers,havoc,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0
