game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,9.0,58.0,38.0,1.0,5.0,473.0,10.0,2.0,19.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,6.0,44.0,18.0,2.0,2.0,244.0,4.0,,
