game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,int_avg,int_long,int_yards,pass_defended,solo_tackles,tackles
FOOTBALL_IFL_2026_8_2_T4TUCSONSUGARSKULLSG202608026JDA@T1SANDIEGOSTRIKEFORCE,2026-08-02,2026,,IFL,#4 Tucson Sugar Skulls,#1 San Diego Strike Force,1.0,1.0,0.0,,0.0,0.0,0.0,,1.0,2.0
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,1.0,,,1.0,,,,2.0,0.0,1.0
