game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,returning_intr_td,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,3.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,5.0
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,6.0
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,,1.0,15.0,0.0,0.0,15.0,,,,,,,,,,,,0.0,0.0,,2.0
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,3.0,16.0,0.0,0.0,48.0,,,,,,,,,,,,0.0,0.0,,2.0
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,,1.0,24.0,24.0,0.0,24.0,,,,,,,,,,,,0.0,0.0,,0.0
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_5_24_TARIZONARATTLERSG2026052419QZ@TVEGASKNIGHTHAWKS,2026-05-24,2026,,IFL,Arizona Rattlers,Vegas Knight Hawks,,,,,,,,,0.0,,,,,,4.0,2.0,6.0,0.0,6.0,,3.0,4.0,2.0,1.0,6.0,,,,
FOOTBALL_AF1_2026_4_11_T602555G1168200@T584635,2026-04-11,2026,1,AF1,Minnesota Monsters,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,0.0,,,2.0
FOOTBALL_AF1_2026_4_25_T602555G1168209@T606163,2026-04-25,2026,3,AF1,Minnesota Monsters,Michigan Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,3.0
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,,,,,,,,,1.0,,,,,,19.0,13.0,36.0,3.0,208.0,,6.8,28.0,6.0,2.0,41.0,,,,
