game_id,date,season,week,league,away,home,attempts,avg,long,td,yards
FOOTBALL_XLEAGUE_2012_SEASON_TOTAL,,2012,1,XLEAGUE,,,25.0,19.5,63.0,7.0,488.0
FOOTBALL_XLEAGUE_2013_SEASON_TOTAL,,2013,1,XLEAGUE,,,31.0,11.5,47.0,10.0,357.0
FOOTBALL_XLEAGUE_2014_SEASON_TOTAL,,2014,1,XLEAGUE,,,32.0,13.4,42.0,7.0,429.0
FOOTBALL_XLEAGUE_2015_SEASON_TOTAL,,2015,1,XLEAGUE,,,30.0,13.6,64.0,3.0,407.0
FOOTBALL_XLEAGUE_2016_SEASON_TOTAL,,2016,1,XLEAGUE,,,29.0,12.6,64.0,5.0,365.0
FOOTBALL_XLEAGUE_2017_SEASON_TOTAL,,2017,1,XLEAGUE,,,30.0,15.1,60.0,5.0,454.0
FOOTBALL_XLEAGUE_2018_SEASON_TOTAL,,2018,1,XLEAGUE,,,25.0,13.3,95.0,2.0,333.0
FOOTBALL_XLEAGUE_2020_SEASON_TOTAL,,2020,1,XLEAGUE,,,18.0,12.28,60.0,1.0,221.0
FOOTBALL_XLEAGUE_2021_SEASON_TOTAL,,2021,1,XLEAGUE,,,38.0,10.11,45.0,2.0,384.0
FOOTBALL_XLEAGUE_2022_SEASON_TOTAL,,2022,1,XLEAGUE,,,16.0,12.81,40.0,,205.0
