game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,14.0,47.0,4.0,415.0,92.0,14.0,1.0,464.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,12.0,28.0,1.0,226.0,142.0,12.0,2.0,770.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,3.0,9.0,,90.0,28.0,3.0,,124.0
