game_id,date,season,week,league,away,home,assists,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,turnovers
WNBA_202105230CHI,2021-05-23,2021,1,WNBA,NYL,CHI,,,,,1.0,,1.0,,,,5.066666666666666,,-5.0,,,1.0
WNBA_202105250CHI,2021-05-25,2021,1,WNBA,ATL,CHI,3.0,1.0,1.0,,3.0,,2.0,1.0,2.0,2.0,11.0,1.0,-1.0,2.0,2.0,3.0
WNBA_202105280CHI,2021-05-28,2021,1,WNBA,LAS,CHI,,1.0,2.0,0.333,3.0,1.0,2.0,1.0,4.0,4.0,10.116666666666667,,-3.0,6.0,1.0,4.0
WNBA_202105300CHI,2021-05-30,2021,1,WNBA,LAS,CHI,,,,,1.0,,1.0,,,,5.283333333333333,,3.0,,,2.0
