game_id,date,season,week,league,away,home,completions,interceptions_lost,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_tds,rushing_yards
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,8.0,0.0,17.0,0.0,95.0,,,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,,,,,,4.0,1.0,10.0
