game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_W7_PIT,,,7,USFL,,,,0.0,,0.0,25.0,,
SYNTHETIC_USFL_W8_PIT,,,8,USFL,,,1.0,1.0,0.0,1.0,218.0,1.0,28.0
SYNTHETIC_USFL_W9_PIT,,,9,USFL,,,,0.0,,0.0,0.0,,
SYNTHETIC_USFL_W10_PIT,,,10,USFL,,,0.0,0.0,,1.0,123.0,0.0,18.0
