game_id,date,season,week,league,away,home,extra_point,field_goal_yards,pass_att,pass_cmp,pass_lg,pass_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,,,68.0,4.0,5.0,113.0,,247.0,8.0,2.0,2.0,41.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,,,,,63.0,3.0,3.0,26.0,1.0,133.0,3.0,1.0,1.0,17.0,3.0,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,,,,,76.0,2.0,2.0,51.0,,149.0,7.0,2.0,2.0,15.0,7.0,1.0,1.0
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,,,,75.0,3.0,3.0,112.0,,210.0,9.0,3.0,3.0,41.0,9.0,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,,,,,69.0,4.0,4.0,48.0,,182.0,5.0,1.0,1.0,29.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,,,,74.0,5.0,5.0,128.0,,348.0,8.0,2.0,2.0,51.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,,,,,,,83.0,7.0,6.0,139.0,,485.0,12.0,3.0,3.0,50.0,12.0,3.0,3.0
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,,,,,95.0,5.0,4.0,63.0,1.0,349.0,2.0,,,,2.0,3.0,2.0
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,,,,,74.0,5.0,5.0,117.0,,305.0,4.0,2.0,,,3.0,3.0,3.0
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,,,,,71.0,3.0,3.0,61.0,,200.0,17.0,5.0,5.0,53.0,16.0,1.0,1.0
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,,,,,,72.0,4.0,4.0,100.0,,276.0,19.0,7.0,6.0,48.0,19.0,1.0,1.0
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,,,,,,81.0,3.0,2.0,39.0,,167.0,5.0,1.0,1.0,32.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,,,,,89.0,4.0,3.0,66.0,,276.0,3.0,,,,2.0,3.0,2.0
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,,,,,75.0,2.0,2.0,43.0,,129.0,7.0,2.0,2.0,44.0,7.0,1.0,1.0
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,,,,,80.0,5.0,4.0,72.0,,352.0,15.0,4.0,4.0,36.0,15.0,3.0,3.0
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,,,,,72.0,5.0,5.0,189.0,1.0,275.0,5.0,1.0,,,4.0,4.0,4.0
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,,,,,64.0,2.0,2.0,30.0,,122.0,6.0,3.0,2.0,27.0,6.0,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,,,,72.0,7.0,7.0,156.0,,452.0,12.0,3.0,3.0,42.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,,,,,65.0,4.0,4.0,92.0,,251.0,5.0,3.0,1.0,31.0,4.0,1.0,1.0
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,,,,75.0,5.0,5.0,123.0,,339.0,5.0,2.0,1.0,15.0,5.0,2.0,2.0
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,,,,71.0,4.0,4.0,118.0,,252.0,12.0,3.0,3.0,42.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,,71.0,4.0,4.0,60.0,1.0,222.0,7.0,2.0,1.0,35.0,6.0,3.0,3.0
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,,60.0,5.0,5.0,65.0,,265.0,3.0,1.0,1.0,32.0,3.0,1.0,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,,,,71.0,9.0,7.0,178.0,,573.0,16.0,4.0,4.0,39.0,16.0,4.0,4.0
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,,,70.0,5.0,5.0,80.0,,299.0,18.0,8.0,5.0,50.0,17.0,2.0,2.0
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,,,,70.0,3.0,3.0,79.0,,197.0,9.0,3.0,3.0,30.0,9.0,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,,,,72.0,2.0,2.0,127.0,1.0,142.0,19.0,6.0,6.0,47.0,19.0,1.0,1.0
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,,,,65.0,2.0,2.0,40.0,,128.0,13.0,4.0,3.0,47.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,,76.0,5.0,4.0,92.0,,340.0,9.0,2.0,2.0,27.0,8.0,2.0,2.0
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,,,,74.0,5.0,5.0,122.0,,330.0,8.0,3.0,2.0,26.0,7.0,1.0,1.0
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,,,,70.0,1.0,1.0,27.0,,70.0,9.0,3.0,3.0,47.0,9.0,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,,,,,,,71.0,7.0,6.0,75.0,,413.0,8.0,2.0,1.0,22.0,8.0,5.0,5.0
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,,,,79.0,2.0,2.0,54.0,,142.0,1.0,,,,1.0,1.0,1.0
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,,,69.0,2.0,2.0,79.0,1.0,131.0,10.0,3.0,3.0,43.0,10.0,1.0,1.0
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,,,,,,,72.0,5.0,5.0,126.0,,327.0,10.0,2.0,2.0,27.0,10.0,4.0,4.0
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,,,,,73.0,5.0,5.0,104.0,,316.0,15.0,4.0,4.0,43.0,15.0,3.0,3.0
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,,,,,65.0,4.0,4.0,65.0,,254.0,9.0,2.0,2.0,47.0,9.0,3.0,3.0
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,,,,77.0,5.0,5.0,110.0,,304.0,10.0,4.0,2.0,35.0,8.0,2.0,2.0
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,,,,68.0,5.0,4.0,85.0,,305.0,10.0,2.0,2.0,45.0,9.0,4.0,3.0
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,,,,,72.0,6.0,5.0,95.0,,350.0,13.0,3.0,3.0,53.0,12.0,3.0,3.0
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,,,,,69.0,7.0,5.0,130.0,,337.0,13.0,4.0,4.0,43.0,12.0,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,,,,73.0,8.0,8.0,179.0,,501.0,10.0,1.0,1.0,41.0,9.0,6.0,6.0
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,,,,,45.0,1.0,1.0,11.0,,45.0,13.0,4.0,4.0,44.0,13.0,1.0,1.0
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,,75.0,5.0,4.0,63.0,,318.0,10.0,2.0,2.0,22.0,9.0,3.0,3.0
FOOTBALL_CFL_2018_6_16_HAM@CGY,2018-06-16,2018,1,CFL,HAM,CGY,,,,,,,74.0,3.0,3.0,56.0,,214.0,8.0,2.0,2.0,43.0,7.0,1.0,1.0
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,,,,,70.0,6.0,6.0,114.0,,413.0,8.0,1.0,1.0,44.0,8.0,5.0,5.0
