game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,pass_att,pass_cmp,pass_td,pass_yds,punt_no,punt_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,1.0,1.0,1.0,40.0,12.0,1.0,1.0,1.0,56.0,29.0,1177.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,3.0,1.0,1.0,1.5,69.0,10.0,,,,,11.0,397.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,2.0,2.0,6.5,73.0,12.0,,,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,,2.0,2.0,56.0,12.0,,,,,,
