game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,pass_att,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,3.0,80.0,,2.0,17.0,6.0,,36.0,13.0,,60.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,11.0,,,1.0,,,17.0,1.0,202.0,152.0,5.0,651.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,8.0,,,,,,15.0,1.0,117.0,54.0,3.0,481.0
