game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed
9889284,2023-06-09,2023,1,CFL,HAM,WPG,4.0,119.0,
9889291,2023-06-22,2023,3,CFL,BC,WPG,,58.0,
9889296,2023-07-01,2023,4,CFL,WPG,MTL,2.0,48.0,
9889299,2023-07-07,2023,5,CFL,CGY,WPG,2.0,76.0,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,3.0,100.0,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,2.0,67.0,1.0
9889314,2023-08-03,2023,9,CFL,BC,WPG,5.0,76.0,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,5.0,53.0,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,1.0,110.0,
9889326,2023-08-24,2023,12,CFL,MTL,WPG,5.0,57.0,1.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,3.0,14.0,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,6.0,82.0,
9889340,2023-09-16,2023,15,CFL,WPG,HAM,3.0,22.0,1.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,1.0,229.0,1.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,2.0,120.0,1.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,24.0,24.0,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,3.0,186.0,
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,17.0,2.0
10798020,2024-06-13,2024,2,CFL,WPG,OTT,2.0,45.0,
10798025,2024-06-21,2024,3,CFL,BC,WPG,3.0,25.0,
10798030,2024-06-29,2024,4,CFL,WPG,CGY,1.0,159.0,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,1.0,214.0,
10798037,2024-07-12,2024,6,CFL,CGY,WPG,3.0,154.0,
10798041,2024-07-19,2024,7,CFL,WPG,SSK,,130.0,
10798046,2024-07-27,2024,8,CFL,WPG,TOR,1.0,55.0,
10798048,2024-08-01,2024,9,CFL,BC,WPG,1.0,227.0,
10798059,2024-08-18,2024,11,CFL,WPG,BC,2.0,81.0,
10798061,2024-08-23,2024,12,CFL,HAM,WPG,2.0,147.0,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,4.0,108.0,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,2.0,146.0,
10798078,2024-09-21,2024,16,CFL,WPG,EDM,3.0,72.0,
10798079,2024-09-27,2024,17,CFL,EDM,WPG,7.0,72.0,
10798083,2024-10-04,2024,18,CFL,WPG,HAM,4.0,22.0,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,1.0,26.0,
10798095,2024-10-26,2024,21,CFL,WPG,MTL,1.0,191.0,
11824049,2025-06-12,2025,2,CFL,BC,WPG,3.0,99.0,
11824056,2025-06-21,2025,3,CFL,WPG,BC,3.0,93.0,
11824057,2025-06-26,2025,4,CFL,EDM,WPG,3.0,89.0,
11824061,2025-07-03,2025,5,CFL,WPG,CGY,1.0,69.0,
11824069,2025-07-18,2025,7,CFL,CGY,WPG,2.0,104.0,
11824074,2025-07-26,2025,8,CFL,WPG,TOR,2.0,39.0,
11824077,2025-08-01,2025,9,CFL,TOR,WPG,4.0,160.0,
11824083,2025-08-09,2025,10,CFL,WPG,CGY,2.0,202.0,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,3.0,139.0,
11824088,2025-08-21,2025,12,CFL,WPG,MTL,2.0,109.0,
11824092,2025-08-31,2025,13,CFL,WPG,SSK,3.0,10.0,
11824097,2025-09-06,2025,14,CFL,SSK,WPG,1.0,73.0,
11824099,2025-09-12,2025,15,CFL,WPG,HAM,1.0,71.0,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,4.0,62.0,
11824116,2025-10-11,2025,19,CFL,WPG,EDM,2.0,62.0,
11824118,2025-10-17,2025,20,CFL,SSK,WPG,1.0,57.0,
11824124,2025-10-25,2025,21,CFL,MTL,WPG,1.0,116.0,
