game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_kr,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,15.0,5.0,5.0,,23.0,25.0,,,,,11.0,9.0,1.0,36.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,8.0,3.0,5.0,,13.0,15.0,,,,,10.0,11.0,1.0,45.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,,,,,,,,,14.0,10.0,,70.0,,,,,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,,,,,,,,12.0,23.0,1.0,54.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,5.0,2.0,3.0,,7.0,9.0,,,,,6.0,11.0,,25.0,,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,8.0,2.0,2.0,,9.0,10.0,,,,,3.0,13.0,,11.0,,,,,,
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,31.0,4.0,5.0,,57.0,60.0,,,,,10.0,7.0,,29.0,,,,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,9.0,4.0,4.0,,27.0,28.0,,,,,9.0,14.0,1.0,45.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,4.0,4.0,1.0,64.0,65.0,,,,,12.0,10.0,,42.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,15.0,6.0,6.0,,52.0,55.0,,,,,12.0,12.0,,43.0,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,3.0,3.0,1.0,23.0,24.0,,,,,8.0,9.0,,47.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,5.0,2.0,2.0,,5.0,5.0,,,,,6.0,14.0,,51.0,,,,,,
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,5.0,1.0,2.0,,5.0,5.0,,,,,7.0,17.0,,38.0,,,,,,
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,15.0,4.0,4.0,,35.0,41.0,,,,,13.0,14.0,,48.0,,,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,10.0,4.0,5.0,,19.0,22.0,,,,,11.0,22.0,,76.0,,,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,10.0,6.0,6.0,,18.0,27.0,,,,,12.0,26.0,,78.0,1.0,,,2.0,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,4.0,1.0,2.0,,4.0,4.0,21.0,1.0,,21.0,17.0,17.0,1.0,91.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,1.0,,,,,,,,3.0,7.0,,13.0,,,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,,,,,18.0,2.0,,33.0,2.0,36.0,,40.0,,,,,,
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,,108.0,6.0,1.0,226.0,,,,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,1.0,1.0,,,,30.0,4.0,,73.0,1.0,5.0,,5.0,,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,15.0,1.0,2.0,,15.0,15.0,20.0,3.0,,56.0,2.0,3.0,,6.0,,,,,,
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,,,,,32.0,6.0,,123.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,16.0,2.0,3.0,,13.0,14.0,,,,,13.0,14.0,,73.0,,,,,,
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,1.0,,,,,,,,3.0,8.0,,15.0,,,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,14.0,1.0,2.0,,14.0,14.0,22.0,1.0,,22.0,2.0,4.0,,7.0,,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,2.0,1.0,2.0,,2.0,2.0,,,,,20.0,17.0,,111.0,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,16.0,3.0,5.0,,31.0,31.0,,,,,15.0,12.0,,71.0,,,,,,
