game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,2.0,1.0,250.0,,,,1.0,22.0
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,0.0,0.0,14.0,,,,0.0,11.0
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,0.0,0.0,30.0,,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,,,,,0.0,0.0
6262,2022-09-09,2022,14,CFL,BC,MTL,0.0,0.0,17.0,,,,,
SYNTHETIC_CFL_2022_W15_MTL,,2022,15,CFL,,,0.0,0.0,294.0,,,,0.0,32.0
6269,2022-09-23,2022,16,CFL,HAM,MTL,0.0,0.0,151.0,,,,0.0,11.0
6274,2022-10-01,2022,17,CFL,MTL,EDM,0.0,2.0,305.0,,,,0.0,38.0
6279,2022-10-10,2022,18,CFL,OTT,MTL,0.0,2.0,258.0,,,,0.0,9.0
6280,2022-10-14,2022,19,CFL,MTL,OTT,0.0,1.0,138.0,0.0,-3.0,1.0,0.0,18.0
6286,2022-10-22,2022,20,CFL,TOR,MTL,1.0,1.0,211.0,,,,0.0,2.0
SYNTHETIC_CFL_2022_W21_MTL,,2022,21,CFL,,,0.0,0.0,130.0,,,,0.0,19.0
9889283,2023-06-08,2023,1,CFL,BC,CGY,1.0,2.0,270.0,,,,1.0,35.0
9889289,2023-06-17,2023,2,CFL,EDM,BC,1.0,1.0,324.0,,,,,11.0
9889291,2023-06-22,2023,3,CFL,BC,WPG,,2.0,237.0,,,,,30.0
9889297,2023-07-03,2023,4,CFL,BC,TOR,6.0,3.0,388.0,,,,,8.0
9889301,2023-07-09,2023,5,CFL,MTL,BC,1.0,1.0,283.0,,,,,22.0
9889308,2023-07-22,2023,7,CFL,SSK,BC,,,8.0,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,1.0,4.0,322.0,,,,,4.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,1.0,3.0,455.0,,,,,24.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,1.0,1.0,326.0,,,,,1.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,3.0,306.0,,,,,54.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,3.0,3.0,325.0,,,,,45.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,2.0,2.0,265.0,,,,,54.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,1.0,3.0,458.0,,,,,13.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,1.0,352.0,,,,,21.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,1.0,2.0,296.0,,,,,1.0
9889358,2023-10-20,2023,20,CFL,CGY,BC,1.0,,116.0,,,,,
10798019,2024-06-09,2024,1,CFL,BC,TOR,2.0,0.0,284.0,,,,0.0,33.0
10798144,2024-05-25,2024,2,CFL,BC,CGY,0.0,0.0,301.0,,,,1.0,54.0
10798025,2024-06-21,2024,3,CFL,BC,WPG,1.0,0.0,218.0,,,,0.0,21.0
10798028,2024-06-27,2024,4,CFL,EDM,BC,0.0,1.0,331.0,,,,0.0,33.0
10798035,2024-07-07,2024,5,CFL,BC,HAM,0.0,2.0,222.0,,,,0.0,8.0
10798038,2024-07-13,2024,6,CFL,SSK,BC,2.0,3.0,428.0,,,,0.0,16.0
10798043,2024-07-21,2024,7,CFL,BC,CGY,1.0,3.0,267.0,,,,0.0,0.0
SYNTHETIC_CFL_2024_W8_BC,,2024,8,CFL,,,0.0,1.0,193.0,,,,0.0,7.0
10798048,2024-08-01,2024,9,CFL,BC,WPG,1.0,0.0,74.0,,,,0.0,1.0
