game_id,date,season,week,league,away,home,assisted_tackles,blocks,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kicking_points,pass_defended,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,3.0,,1.0,0.0,3.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,7.0,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,0.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,1.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,3.0,,
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,4.0,,,,,,,,,,,,,,,,,6.0,10.0,1.0,0.0
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,3.0,1.0,,,,,,0.0,0.0,0.0,,,0.0,1.0,4.0,0.5,,6.0,9.0,1.5,0.0
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,2.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,2.0,,
FOOTBALL_IFL_2026_4_18_TFISHERSFREIGHTG202604185HGP@TTULSAOILERS,2026-04-18,2026,6,IFL,Fishers Freight,Tulsa Oilers,3.0,,,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0
FOOTBALL_AF1_2026_5_23_T584761G1168384@T584641,2026-05-23,2026,7,AF1,Beaumont Renegades,Washington Wolfpack,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,,2.0,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,1.0,,,,,,,,,,1.0,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,2.0,,,,,,,,,,,,,,,,,3.0,5.0,1.0,0.0
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,1.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,3.0,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,1.0,,,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,0.0
