game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,13.0,3.0,,84.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,,,,,,23.0
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,8.0,1.0,,35.0
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,,,19.0,2.0,,5.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,42.0,5.0,,2.0
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,0.0,9.0,1.0,1.0,110.0
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,0.0,0.0,1.0,0.0,38.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,0.0,15.0,1.0,0.0,41.0
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,0.0,22.0,3.0,0.0,8.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,1.0,0.0,-4.0,3.0,1.0,79.0
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,0.0,4.0,1.0,0.0,30.0
