game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,pass_defended,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,2.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,7.0,10.0,,0.0,2.0,14.0,2.0,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,,,,,,,,,,,,,11.0,21.0,,0.0,2.0,56.0,5.0,,,,,,
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,19.0,19.0,,0.0,2.0,37.0,2.0,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,,,,,,,,,,,,,18.0,32.0,,0.0,3.0,89.0,5.0,,,,,,
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,9.0,0.0,0.0,0.0,17.0,2.0,0.0,,,1.0,,
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,1.0,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,,,,,,,,,,,,,13.0,29.0,,0.0,1.0,78.0,6.0,,,,,,
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,0.0,1.0,,,0.0,,,,20.0,20.0,20.0,1.0,,,,,,,,,,2.0,2.0,1.0,0.0
