game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,1.0,1.0,35.0,6.0,7.0,1.0,26.0,104.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,14.0,5.0,5.0,,18.0,55.0,,,,,,,
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,19.0,6.0,10.0,,58.0,86.0,,,,,,,
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,13.0,3.0,5.0,,2.0,30.0,12.0,3.0,24.0,,,,
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,39.0,3.0,6.0,,8.0,83.0,5.0,5.0,11.0,,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,46.0,9.0,11.0,2.0,85.0,186.0,4.0,1.0,4.0,,2.0,12.0,2.0
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,15.0,4.0,4.0,,38.0,48.0,,,,,,,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,12.0,4.0,5.0,,16.0,29.0,,,,,,,
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,31.0,9.0,11.0,,38.0,147.0,25.0,2.0,49.0,,,,
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,15.0,3.0,5.0,,10.0,32.0,17.0,2.0,31.0,1.0,,2.0,
FOOTBALL_CFL_2017_10_28_CGY@EDM,2017-10-28,2017,1,CFL,CGY,EDM,,,,3.0,5.0,1.0,41.0,101.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,1.0,1.0,56.0,7.0,10.0,1.0,47.0,201.0,10.0,4.0,25.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,,,43.0,8.0,9.0,1.0,31.0,156.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_19_EDM@CGY,2017-11-19,2017,1,CFL,EDM,CGY,,,31.0,4.0,7.0,,25.0,65.0,,,,,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,40.0,3.0,4.0,,21.0,72.0,,,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,76.0,7.0,9.0,,47.0,152.0,,,,,,,
FOOTBALL_CFL_2017_6_30_MTL@EDM,2017-06-30,2017,1,CFL,MTL,EDM,,,13.0,4.0,6.0,,13.0,36.0,,,,,,,
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,21.0,10.0,10.0,,45.0,108.0,,,,,,,
FOOTBALL_CFL_2017_7_20_EDM@HAM,2017-07-20,2017,1,CFL,EDM,HAM,,,26.0,8.0,9.0,,12.0,113.0,,,,,,,
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,1.0,1.0,23.0,7.0,9.0,1.0,37.0,107.0,9.0,3.0,18.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,33.0,5.0,7.0,,17.0,65.0,,,,,,,
FOOTBALL_CFL_2017_8_4_HAM@EDM,2017-08-04,2017,1,CFL,HAM,EDM,,,10.0,3.0,4.0,,1.0,21.0,,,,,,,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,,,,3.0,6.0,1.0,12.0,66.0,15.0,1.0,15.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,,,39.0,9.0,11.0,,62.0,152.0,10.0,3.0,18.0,,,,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,1.0,1.0,,9.0,14.0,1.0,38.0,127.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,,,67.0,10.0,12.0,,46.0,187.0,,,,,,,
