game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-t20i-2022-12-01-1343771,2022-12-01,2022,1,T20I,Gambia,Eswatini,12.0,0.0,0.0,6.0,7.0,0.0,24.0,0.0,0.0,25.0,1.0,0.0,1.0
cricket-t20i-2022-12-02-1343775,2022-12-02,2022,1,T20I,Eswatini,Mozambique,15.0,1.0,0.0,5.0,20.0,1.0,,,,,,,1.0
cricket-t20i-2022-12-04-1343777,2022-12-04,2022,1,T20I,Nigeria,Eswatini,3.0,0.0,0.0,7.0,0.0,0.0,24.0,0.0,0.0,31.0,0.0,1.0,1.0
cricket-t20i-2022-12-05-1343781,2022-12-05,2022,1,T20I,Sierra Leone,Eswatini,1.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,13.0,1.0,1.0,1.0
cricket-t20i-2022-12-06-1343784,2022-12-06,2022,1,T20I,Tanzania,Eswatini,16.0,0.0,0.0,7.0,10.0,1.0,24.0,0.0,0.0,43.0,1.0,1.0,1.0
cricket-t20i-2025-09-12-1501502,2025-09-12,2025,1,T20I,Eswatini,Mozambique,25.0,4.0,0.0,3.0,23.0,0.0,18.0,1.0,0.0,10.0,1.0,0.0,1.0
cricket-t20i-2025-09-12-1501503,2025-09-12,2025,1,T20I,Eswatini,Mozambique,13.0,2.0,0.0,5.0,13.0,0.0,24.0,0.0,0.0,15.0,1.0,0.0,1.0
cricket-t20i-2025-09-13-1501504,2025-09-13,2025,1,T20I,Eswatini,Mozambique,15.0,1.0,0.0,5.0,16.0,1.0,,,,,,,1.0
cricket-t20i-2025-09-13-1501505,2025-09-13,2025,1,T20I,Eswatini,Mozambique,12.0,1.0,0.0,3.0,10.0,0.0,12.0,0.0,0.0,41.0,0.0,0.0,1.0
cricket-t20i-2025-09-14-1501506,2025-09-14,2025,1,T20I,Eswatini,Mozambique,4.0,0.0,1.0,4.0,0.0,0.0,,,,,,,1.0
