game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_2024_W1_WPG,,2024,1,CFL,,,,,,,,,0.0,32.0
SYNTHETIC_CFL_2024_W2_WPG,,2024,2,CFL,,,,,,,,,1.0,7.0
SYNTHETIC_CFL_2024_W3_WPG,,2024,3,CFL,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0
SYNTHETIC_CFL_2024_W4_WPG,,2024,4,CFL,,,1.0,1.0,170.0,,,,0.0,27.0
SYNTHETIC_CFL_2024_W5_WPG,,2024,5,CFL,,,0.0,0.0,127.0,,,,1.0,79.0
SYNTHETIC_CFL_2024_W6_WPG,,2024,6,CFL,,,,,,,,,1.0,7.0
SYNTHETIC_CFL_2024_W7_WPG,,2024,7,CFL,,,,,,,,,0.0,7.0
SYNTHETIC_CFL_2024_W8_WPG,,2024,8,CFL,,,0.0,0.0,0.0,,,,0.0,19.0
SYNTHETIC_CFL_2024_W9_WPG,,2024,9,CFL,,,,,,,,,0.0,25.0
SYNTHETIC_CFL_2024_W11_WPG,,2024,11,CFL,,,,,,,,,1.0,16.0
SYNTHETIC_CFL_2024_W12_WPG,,2024,12,CFL,,,,,,,,,0.0,13.0
SYNTHETIC_CFL_2024_W13_WPG,,2024,13,CFL,,,0.0,0.0,46.0,,,,2.0,12.0
SYNTHETIC_CFL_2024_W14_WPG,,2024,14,CFL,,,0.0,0.0,0.0,,,,1.0,4.0
SYNTHETIC_CFL_2025_W2_WPG,,2025,2,CFL,,,1.0,3.0,246.0,,,,0.0,9.0
SYNTHETIC_CFL_2025_W3_WPG,,2025,3,CFL,,,,,,,,,0.0,1.0
SYNTHETIC_CFL_2025_W4_WPG,,2025,4,CFL,,,,,,,,,0.0,3.0
SYNTHETIC_CFL_2025_W5_WPG,,2025,5,CFL,,,0.0,0.0,28.0,,,,0.0,5.0
SYNTHETIC_CFL_2025_W7_WPG,,2025,7,CFL,,,2.0,1.0,136.0,,,,0.0,29.0
SYNTHETIC_CFL_2025_W8_WPG,,2025,8,CFL,,,0.0,1.0,148.0,,,,0.0,16.0
SYNTHETIC_CFL_2025_W9_WPG,,2025,9,CFL,,,3.0,0.0,173.0,,,,1.0,25.0
SYNTHETIC_CFL_2025_W10_WPG,,2025,10,CFL,,,0.0,0.0,2.0,,,,1.0,4.0
SYNTHETIC_CFL_2025_W11_WPG,,2025,11,CFL,,,0.0,0.0,5.0,,,,1.0,4.0
SYNTHETIC_CFL_2025_W13_WPG,,2025,13,CFL,,,,,,,,,0.0,1.0
SYNTHETIC_CFL_2025_W14_WPG,,2025,14,CFL,,,2.0,0.0,39.0,,,,0.0,9.0
SYNTHETIC_CFL_2025_W15_WPG,,2025,15,CFL,,,2.0,1.0,241.0,,,,1.0,82.0
SYNTHETIC_CFL_2025_W16_WPG,,2025,16,CFL,,,1.0,,54.0,,,,1.0,72.0
SYNTHETIC_CFL_2025_W17_WPG,,2025,17,CFL,,,0.0,0.0,23.0,,,,3.0,26.0
SYNTHETIC_CFL_2025_W19_WPG,,2025,19,CFL,,,,,,,,,1.0,8.0
SYNTHETIC_CFL_2025_W20_WPG,,2025,20,CFL,,,0.0,0.0,0.0,,,,0.0,7.0
SYNTHETIC_CFL_2025_W21_WPG,,2025,21,CFL,,,0.0,0.0,13.0,,,,0.0,0.0
