game_id,date,season,week,league,away,home,def_fr,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,8.5,39.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,4.0,22.0,10.0
