game_id,date,season,week,league,away,home,completion_pct,fumbles,fumbles_lost,games_played,interceptions,kick_returns,match_loss,match_played,match_win,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,team_points_against,team_points_for,total_yards,yards_per_game
FOOTBALL_NAL_2021_albany-empire_SEASON_TOTAL,2021-12-31,,0,,,ALBANY EMPIRE,60.0,3.0,1.0,12.0,0.0,0.0,,,,10.0,6.0,30.0,6.8,183.1,2.0,68.0,17.0,0.0,5.0,5.0,0.0,5.0,1.3,1.0,0.3,1.5,13.0,12.0,2.0,18.0,4.5,,,23.0,5.8
curling-curling-events-2026-9478-389168,2026-01-01,2026,1,CURLING-EVENTS,Canada,Japan,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,
