game_id,date,season,week,league,away,home,assists,blocks,catches,completions,hockeyAssists,hucksCompleted,throwAttempts,yardsReceived,yardsThrown
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,,,1.0,1.0,,,1.0,9.0,2.0
2023-07-07-POR-SLC,2023-07-07,2023,11,,POR,SLC,2.0,1.0,11.0,10.0,1.0,1.0,11.0,103.0,93.0
