game_id,date,season,week,league,away,home,assists,blocks,d_points,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,6.0,,,,-11.0,6.0,17.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,1.0,9.0,,-1.0,6.0,2.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,,1.0,7.0,6.0,-1.0,21.0,2.0
