game_id,date,season,week,league,away,home,assist_tackles,def_ast,def_solo,def_tot,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,misc_forced,misc_tot,solo_tackles,tackles
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,
FOOTBALL_CFL_2019_2_17_ORL@SA,2019-02-17,2019,1,CFL,ORL,SA,,2.0,1.0,3.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_2_24_SA@SD,2019-02-24,2019,1,CFL,SA,SD,,,5.0,5.0,,,,,,,,,,,,1.0,,
FOOTBALL_CFL_2019_2_9_SD@SA,2019-02-09,2019,1,CFL,SD,SA,,1.0,,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_10_SA@ARI,2019-03-10,2019,1,CFL,SA,ARI,,2.0,3.0,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_17_SA@ATL,2019-03-17,2019,1,CFL,SA,ATL,,2.0,5.0,7.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_23_SL@SA,2019-03-23,2019,1,CFL,SL,SA,,2.0,3.0,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_3_SA@BIR,2019-03-03,2019,1,CFL,SA,BIR,,1.0,5.0,6.0,,,,,,,,,,,1.0,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,1.0,
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,5.0,
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,3.0,
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,5.0,
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,3.0,
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,2.0,,,,,,,,,,,,,,,,5.0,7.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,6.0,,,,,,,,,,,,,,,,2.0,8.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,1.0,,,,,,,,,,,,,,,,2.0,3.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,2.0,,,,,,,,,,,,,,,,2.0,4.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,1.0,,,,,,,,,,,,,,,,5.0,6.0
