game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_DEFENDERS,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,,,1.0,,0.0,235.0,,10.0
SYNTHETIC_UFL_2024_W2_DEFENDERS,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,1.0,1.0,,2.0,212.0,,17.0
SYNTHETIC_UFL_2024_W3_DEFENDERS,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,1.0,0.0,,2.0,188.0,0.0,53.0
SYNTHETIC_UFL_2024_W4_DEFENDERS,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,0.0,,2.0,161.0,0.0,24.0
SYNTHETIC_UFL_2024_W5_DEFENDERS,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,,,3.0,,1.0,101.0,0.0,26.0
SYNTHETIC_UFL_2024_W6_DEFENDERS,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,0.0,1.0,1.0,179.0,0.0,-7.0
SYNTHETIC_UFL_2024_W7_DEFENDERS,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,0.0,,1.0,127.0,0.0,3.0
SYNTHETIC_UFL_2024_W8_DEFENDERS,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,1.0,1.0,2.0,,2.0,196.0,0.0,30.0
SYNTHETIC_UFL_2024_W9_DEFENDERS,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,3.0,2.0,,2.0,237.0,1.0,38.0
SYNTHETIC_UFL_2024_W10_DEFENDERS,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,1.0,0.0,,2.0,218.0,0.0,9.0
