game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,sacks,tackles
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,,,,21.0,1.0,7.0,1.0,21.0,,
FOOTBALL_CFL_2022_8_20_CGY@TOR,2022-08-20,2022,1,CFL,CGY,TOR,,,,,,,9.0,1.0,4.0,4.0,9.0,,
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,1.0,1.0,,,,,35.0,4.0,6.0,9.0,63.0,,
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,,,,,,,39.0,3.0,6.0,32.0,68.0,,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,1.0,1.0,,,,,11.0,3.0,7.0,8.0,17.0,,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,,,,,,17.0,3.0,5.0,12.0,32.0,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,,,0.0,9.0,1.0,,,,,,,
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,,0.0,68.0,3.0,,,,,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,,0.0,17.0,3.0,,,,,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,,0.0,21.0,1.0,,,,,,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,,131.0,6.0,,,,,,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,0.0,33.0,1.0,,,,,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,,0.0,16.0,2.0,,,,,,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,,1.0,72.0,4.0,,,,,,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,,0.0,43.0,3.0,,,,,,,
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,0.0,1.0,102.0,3.0,,,,,,0.0,1.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,1.0,32.0,2.0,,,,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,0.0,41.0,3.0,,,,,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,1.0,75.0,4.0,,,,,,,
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,0.0,0.0,0.0,,,,,,,
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,0.0,54.0,2.0,,,,,,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,0.0,83.0,4.0,,,,,,,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,,0.0,0.0,0.0,,,,,,,
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,1.0,105.0,5.0,,,,,,,
10798026,2024-06-22,2024,3,CFL,EDM,TOR,,,,1.0,58.0,3.0,,,,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,,,0.0,38.0,4.0,,,,,,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,,,0.0,76.0,5.0,,,,,,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,,,1.0,10.0,1.0,,,,,,,
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,,,0.0,87.0,5.0,,,,,,,
10798046,2024-07-27,2024,8,CFL,WPG,TOR,,,,0.0,0.0,0.0,,,,,,,
10798051,2024-08-04,2024,9,CFL,TOR,CGY,,,,0.0,61.0,4.0,,,,,,,
10798053,2024-08-09,2024,10,CFL,CGY,TOR,,,,0.0,17.0,1.0,,,,,,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,0.0,112.0,5.0,,,,,,,
10798066,2024-09-02,2024,13,CFL,TOR,HAM,,,,0.0,67.0,6.0,,,,,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,,2.0,91.0,6.0,,,,,,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,,,,0.0,21.0,2.0,,,,,,,
10798075,2024-09-20,2024,16,CFL,HAM,TOR,,,,0.0,45.0,5.0,,,,,,,
10798082,2024-09-28,2024,17,CFL,MTL,TOR,,,,0.0,58.0,3.0,,,,,,,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,,,,0.0,6.0,1.0,,,,,,,
10798091,2024-10-19,2024,20,CFL,OTT,TOR,,,,0.0,80.0,5.0,,,,,,,
10798094,2024-10-25,2024,21,CFL,TOR,EDM,,,,0.0,33.0,3.0,,,,,,,
11824046,2025-06-06,2025,1,CFL,TOR,MTL,,,,0.0,99.0,5.0,,,,,,,
11824051,2025-06-14,2025,2,CFL,CGY,TOR,,,,1.0,98.0,6.0,,,,,,,
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,,,0.0,51.0,3.0,,,,,,,
11824060,2025-06-29,2025,4,CFL,TOR,OTT,,,,0.0,82.0,2.0,,,,,,,
11824062,2025-07-04,2025,5,CFL,HAM,TOR,,,,1.0,76.0,5.0,,,,,,,
11824068,2025-07-17,2025,7,CFL,TOR,MTL,,,,1.0,36.0,5.0,,,,,,,
11824074,2025-07-26,2025,8,CFL,WPG,TOR,,,,1.0,145.0,6.0,,,,,,,
11824077,2025-08-01,2025,9,CFL,TOR,WPG,,,,2.0,187.0,9.0,,,,,,,
11824082,2025-08-09,2025,10,CFL,OTT,TOR,,,,0.0,20.0,2.0,,,,,,,
11824085,2025-08-15,2025,11,CFL,TOR,EDM,,,,0.0,60.0,5.0,,,,,,,
