game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,sh_goals
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,7.0,18.0,2.0,4.0,9.0,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,11.0,18.0,10.0,8.0,21.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,4.0,18.0,12.0,15.0,16.0,3.0
