game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,4.0,1.0,12.0,7.0,42.0,11.0,78.0,1.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,4.0,4.0,42.0,20.0,68.0,19.0,175.0,9.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,8.0,,6.0,4.0,49.0,10.0,121.0,2.0
