game_id,date,season,week,league,away,home,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
5pr1v6tabjsekhe4,2026-05-02,2026,1,50 Yard,San Antonio Gunslingers,Tucson Sugar Skulls,,,,,,0.0,2.0
SYNTHETIC_50YARD_2026_W3_TUCSONSUGARSKULLS,2026-05-15,2026,3,50YARD,TUCSON SUGAR SKULLS,QUAD CITY STEAMWHEELERS,1.0,11.0,2.0,32.0,2.0,,
