game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,pr_no
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,13.0,9.0,1.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,8.0,12.0,
