game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,sh_goals
NLL_2021_SEASON_TOTAL,,,1,,,,6.0,7.0,8.0,4.0,14.0,
NLL_2022_SEASON_TOTAL,,,1,,,,6.0,17.0,11.0,2.0,17.0,
NLL_2023_SEASON_TOTAL,,,1,,,,21.0,17.0,19.0,4.0,40.0,1.0
