game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,24.0,,,10.0,17.0,,2.0,,41.0,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,56.0,,,18.0,38.0,,4.0,,94.0,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,53.0,,,18.0,51.0,,8.0,,104.0,16.0,12.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,55.0,,,18.0,45.0,,2.0,,100.0,10.0,17.0,,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,0.0,0.0,0.0,,4.0,0.0,,0.0,,,,,0.0,0.0
