game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_STARS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,0.0,65.0,4.0,,
SYNTHETIC_USFL_2023_W5_STARS,2023-05-14,2023,5,USFL,STARS,GENERALS,0.0,20.0,3.0,,
SYNTHETIC_USFL_2023_W8_STARS,2023-06-03,2023,8,USFL,STALLIONS,STARS,1.0,107.0,4.0,,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,1.0,98.0,9.0,,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,0.0,53.0,6.0,0.0,3.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,1.0,86.0,8.0,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,0.0,27.0,2.0,,
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,0.0,76.0,6.0,,
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,1.0,75.0,4.0,,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,0.0,55.0,4.0,,
