game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,9.0,6.0,62.0,,,43.0,4.0,532.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,12.0,8.0,162.0,2.0,24.0,54.0,3.0,653.0,8.0,46.0
