game_id,date,season,week,league,away,home,assists,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,17.0,1.0,3.0,,12.0,1.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,3.0,37.0,2.0,15.0,3.0,27.0,2.0
