game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105190CON,2021-05-19,2021,1,WNBA,IND,CON,1.0,,3.0,0.5,6.0,3.0,1.0,,,,18.55,2.0,-11.0,6.0,5.0,,1.0
WNBA_202105210IND,2021-05-21,2021,1,WNBA,ATL,IND,,2.0,2.0,0.667,6.0,4.0,4.0,1.0,4.0,4.0,20.883333333333333,,-9.0,12.0,2.0,,2.0
WNBA_202105230IND,2021-05-23,2021,1,WNBA,WAS,IND,,,,0.333,3.0,1.0,2.0,,,,8.35,1.0,-12.0,2.0,1.0,,
WNBA_202106190WAS,2021-06-19,2021,1,WNBA,IND,WAS,,,3.0,0.4,5.0,2.0,1.0,,,,13.116666666666667,,-1.0,4.0,3.0,,1.0
WNBA_202106240IND,2021-06-24,2021,1,WNBA,DAL,IND,,,1.0,,2.0,,1.0,,,,9.4,1.0,-22.0,,2.0,,2.0
WNBA_202107010IND,2021-07-01,2021,1,WNBA,CON,IND,1.0,1.0,,0.5,2.0,1.0,5.0,,,,17.566666666666666,,-1.0,2.0,,1.0,3.0
WNBA_202107030IND,2021-07-03,2021,1,WNBA,CON,IND,,,2.0,0.6,5.0,3.0,4.0,0.667,3.0,2.0,18.283333333333335,3.0,-1.0,8.0,5.0,2.0,2.0
WNBA_202308080SEA,2023-08-08,2023,1,WNBA,CON,SEA,,,,,,,2.0,,,,5.033333333333333,,-9.0,,,,1.0
WNBA_202308100PHO,2023-08-10,2023,1,WNBA,CON,PHO,,,2.0,0.429,7.0,3.0,2.0,,,,15.466666666666667,,-9.0,6.0,2.0,,1.0
WNBA_202308240CON,2023-08-24,2023,1,WNBA,NYL,CON,,,2.0,0.5,2.0,1.0,1.0,,,,5.133333333333334,,-1.0,2.0,2.0,,1.0
WNBA_202308270CON,2023-08-27,2023,1,WNBA,LAS,CON,,,,,1.0,,,,,,2.1166666666666667,,-2.0,,,,
WNBA_202308310CON,2023-08-31,2023,1,WNBA,PHO,CON,1.0,1.0,,,1.0,,2.0,,,,5.166666666666667,1.0,-2.0,,1.0,,1.0
WNBA_202309010NYL,2023-09-01,2023,1,WNBA,CON,NYL,,1.0,2.0,0.4,5.0,2.0,2.0,,,,14.45,2.0,-7.0,4.0,4.0,4.0,
