game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,2.0,5.0,29.0,10.0,,,,,1.0,1.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,2.0,9.0,41.0,12.0,2.0,24.0,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,2.0,6.0,32.0,12.0,,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,,2.0,6.0,24.0,11.0,,,1.0,1.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,2.0,11.0,34.0,12.0,,,,,,
