game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,58.0,17.0,26.0,2.0,84.0,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,28.0,18.0,22.0,6.0,50.0,9.0,8.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,31.0,17.0,10.0,2.0,41.0,6.0,
