game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,,29.0,22.0,3.0,62.0,,,2.0,327.0,,,,,,4.0,12.0,,22.0,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,25.0,20.0,,49.0,2.0,1.0,3.0,348.0,,,,,,4.0,8.0,,14.0,,,
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,28.0,21.0,,,19.0,3.0,2.0,273.0,,,,,,4.0,,1.0,26.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,32.0,19.0,1.0,,,,2.0,241.0,,,,,,3.0,14.0,,28.0,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,1.0,1.0,38.0,28.0,2.0,55.0,10.0,2.0,,422.0,,,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,1.0,1.0,35.0,26.0,1.0,37.0,17.0,3.0,2.0,329.0,,,,,,9.0,,2.0,43.0,12.0,2.0,2.0
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,24.0,17.0,1.0,34.0,14.0,2.0,1.0,206.0,,,,,,1.0,8.0,,8.0,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,1.0,1.0,25.0,17.0,1.0,61.0,11.0,1.0,3.0,307.0,,,,,,2.0,8.0,,12.0,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,42.0,24.0,,33.0,26.0,3.0,,248.0,,,,,,10.0,15.0,,41.0,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,40.0,25.0,,,21.0,1.0,3.0,429.0,,,,,,5.0,19.0,1.0,30.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,27.0,16.0,,60.0,18.0,1.0,1.0,228.0,,,,,,3.0,9.0,,12.0,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,41.0,26.0,2.0,46.0,,,3.0,374.0,,,,,,5.0,16.0,1.0,44.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,1.0,1.0,18.0,11.0,1.0,35.0,17.0,3.0,,132.0,,,,,,4.0,6.0,1.0,8.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,32.0,20.0,1.0,,5.0,1.0,3.0,306.0,,,,,,3.0,14.0,,24.0,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,22.0,10.0,,42.0,13.0,2.0,,153.0,,,,,,2.0,9.0,,11.0,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,31.0,23.0,,34.0,59.0,6.0,1.0,289.0,,,,,,5.0,6.0,,20.0,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,31.0,22.0,1.0,20.0,19.0,2.0,,199.0,,,,,,3.0,13.0,,20.0,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,28.0,16.0,2.0,,13.0,2.0,2.0,278.0,,,,,,3.0,7.0,,14.0,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,33.0,24.0,,46.0,5.0,1.0,1.0,341.0,-3.0,1.0,1.0,-3.0,-3.0,3.0,19.0,,31.0,,,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,8.0,5.0,,34.0,,,,61.0,,,,,,1.0,3.0,,3.0,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,24.0,14.0,,40.0,21.0,4.0,1.0,199.0,,,,,,3.0,33.0,,47.0,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,18.0,11.0,,34.0,21.0,3.0,1.0,172.0,,,,,,1.0,3.0,,3.0,,,
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,,,21.0,16.0,,40.0,14.0,2.0,,140.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,24.0,20.0,,,1.0,2.0,2.0,183.0,,,,,,9.0,21.0,,57.0,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,24.0,13.0,1.0,46.0,19.0,5.0,,199.0,,,,,,5.0,21.0,,34.0,,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,24.0,15.0,2.0,12.0,3.0,2.0,,105.0,,,,,,3.0,5.0,,6.0,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,30.0,19.0,1.0,18.0,,,1.0,180.0,,,,,,8.0,12.0,,46.0,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,47.0,32.0,,39.0,6.0,1.0,3.0,346.0,,,,,,4.0,8.0,,26.0,,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,25.0,17.0,3.0,27.0,32.0,3.0,,146.0,,,,,,2.0,3.0,,5.0,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,12.0,10.0,,13.0,1.0,1.0,1.0,68.0,,,,,,1.0,2.0,,2.0,,,
