game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,,,,,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,1.0,,,,,,,,,,2.0,3.0,,5.0,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,,,,,,3.0,4.0,,8.0,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,9.0,9.0,,27.0,5.0,1.0,1.0,93.0,,,2.0,3.0,1.0,4.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,40.0,24.0,,57.0,35.0,4.0,,368.0,,,,,,,,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,30.0,20.0,2.0,,30.0,4.0,2.0,191.0,,,3.0,3.0,,9.0,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,37.0,30.0,,30.0,19.0,3.0,,370.0,,,4.0,3.0,,6.0,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,22.0,19.0,,,13.0,2.0,2.0,262.0,,,2.0,3.0,,5.0,,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,36.0,31.0,,,8.0,2.0,4.0,370.0,,,2.0,7.0,,8.0,,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,28.0,19.0,1.0,,17.0,3.0,1.0,189.0,,,2.0,10.0,,13.0,,,,,
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,35.0,22.0,2.0,42.0,10.0,2.0,1.0,260.0,,,5.0,,2.0,17.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,,,,,,,1.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,,,,,,,1.0,,1.0,1.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,,,,,,,1.0,2.0,,2.0,,,,,
SYNTHETIC_CFL_2022_W1_EDM,,2022,1,CFL,,,3.0,,,,,,,,,0.0,254.0,,,,,0.0,6.0,,,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,1.0,,,,,,,,,1.0,226.0,,,,,0.0,2.0,,,
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,2.0,,,,,,,,,0.0,97.0,,,,,,,,,
6236,2022-07-22,2022,7,CFL,WPG,EDM,0.0,,,,,,,,,0.0,47.0,,,,,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,2.0,,,,,,,,,0.0,186.0,,,,,0.0,5.0,,,
6250,2022-08-19,2022,11,CFL,EDM,OTT,0.0,,,,,,,,,0.0,85.0,,,,,,,,,
6261,2022-09-05,2022,13,CFL,EDM,CGY,0.0,,,,,,,,,1.0,313.0,,,,,0.0,25.0,,,
6265,2022-09-10,2022,14,CFL,CGY,EDM,1.0,,,,,,,,,0.0,290.0,,,,,0.0,12.0,,,
