game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,7.0,2.0,3.0,,4.0,11.0,,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,18.0,3.0,7.0,,3.0,33.0,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,24.0,2.0,4.0,,6.0,30.0,,,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,15.0,2.0,5.0,,,29.0,,,,
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,7.0,1.0,3.0,,1.0,7.0,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,1.0,1.0,,3.0,3.0,1.0,16.0,42.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,8.0,1.0,1.0,,,8.0,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,17.0,2.0,4.0,,4.0,25.0,,,,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,8.0,4.0,6.0,,5.0,25.0,1.0,,2.0,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,,,2.0,3.0,1.0,64.0,78.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,6.0,2.0,2.0,,,7.0,,,,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,7.0,3.0,3.0,,5.0,16.0,,,,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,13.0,2.0,4.0,,,21.0,,,,
