game_id,date,season,week,league,away,home,assisted_tackles,blocks,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,kicking_points,pass_defended,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,1.0,,,,,,,,5.0,0.5,2.0,3.0,0.5,0.0
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,2.0,,,,,,,,,,1.0,3.0,,
FOOTBALL_IFL_2026_6_21_TJACKSONVILLESHARKSG202606212HO4@TORLANDOPIRATES,2026-06-21,2026,15,IFL,Jacksonville Sharks,Orlando Pirates,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,20.0,2.5,3.0,4.0,2.5,0.0
FOOTBALL_IFL_2026_6_28_TORLANDOPIRATESG20260628EGZ4@TQUADCITYSTEAMWHEELERS,2026-06-28,2026,16,IFL,Orlando Pirates,Quad City Steamwheelers,1.0,,,,,,,2.0,,,1.0,2.0,,
FOOTBALL_IFL_2026_7_5_TGREENBAYBLIZZARDG20260705T6X5@TORLANDOPIRATES,2026-07-05,2026,17,IFL,Green Bay Blizzard,Orlando Pirates,4.0,,,,,,,,,,5.0,9.0,1.0,0.0
