game_id,date,season,week,league,away,home,extra_point,made_19,made_29,made_39,made_49,made_50,missed
SYNTHETIC_USFL_2022_W1_PHI,,2022,1,USFL,,,2.0,0.0,0.0,1.0,0.0,0.0,2.0
SYNTHETIC_USFL_2022_W2_PHI,,2022,2,USFL,,,3.0,,,,,,
SYNTHETIC_USFL_2022_W3_PHI,,2022,3,USFL,,,1.0,0.0,1.0,0.0,0.0,0.0,2.0
SYNTHETIC_USFL_2022_W4_PHI,,2022,4,USFL,,,2.0,0.0,2.0,1.0,1.0,0.0,1.0
SYNTHETIC_USFL_2022_W5_PHI,,2022,5,USFL,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0
SYNTHETIC_USFL_2022_W6_PHI,,2022,6,USFL,,,5.0,,,,,,
SYNTHETIC_USFL_2022_W7_PHI,,2022,7,USFL,,,3.0,0.0,0.0,3.0,1.0,0.0,0.0
SYNTHETIC_USFL_2022_W8_PHI,,2022,8,USFL,,,5.0,0.0,0.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W9_PHI,,2022,9,USFL,,,2.0,0.0,0.0,0.0,1.0,0.0,2.0
SYNTHETIC_USFL_2022_W10_PHI,,2022,10,USFL,,,2.0,0.0,0.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W11_PHI,,2022,11,USFL,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0
