game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,9.0,1.0,2.0,,1.0,9.0,,,
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,,,12.0,2.0,2.0,,6.0,19.0,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,11.0,1.0,1.0,,3.0,11.0,,,
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,5.0,2.0,2.0,,2.0,6.0,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,1.0,1.0,1.0,8.0,16.0,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,1.0,1.0,3.0,1.0,1.0,,,3.0,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,,3.0,5.0,1.0,19.0,47.0,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,,,5.0,2.0,2.0,,,6.0,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,6.0,1.0,1.0,,3.0,6.0,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,4.0,5.0,1.0,48.0,86.0,1.0,6.0,1.0
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,,,12.0,2.0,3.0,,3.0,16.0,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,9.0,1.0,2.0,,3.0,9.0,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,13.0,1.0,3.0,,8.0,13.0,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,1.0,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,,2.0,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,17.0,1.0,1.0,,6.0,17.0,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,,,1.0,,,,,,
