game_id,date,season,week,league,away,home,interceptions_made,recv_tar,tackles
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,1.0,
SYNTHETIC_CFL_2024_W1_CGY,2024-06-07,2024,1,CFL,HAM,CGY,,,2.0
SYNTHETIC_CFL_2024_W7_CGY,2024-07-21,2024,7,CFL,BC,CGY,1.0,,
