game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,,,1.0,,98.0,,24.0
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,VIPERS,SEA DRAGONS,,,,2.0,224.0,1.0,66.0
SYNTHETIC_XFL_2023_W3_VIPERS,2023-03-04,2023,3,XFL,VIPERS,SEA DRAGONS,0.0,1.0,,,,,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,,,1.0,,50.0,,0.0
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,1.0,120.0,,5.0
SYNTHETIC_XFL_2023_W6_VIPERS,2023-03-25,2023,6,XFL,VIPERS,BATTLEHAWKS,0.0,0.0,,,,,
