game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_yards,receptions,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,,,9.0,2.0,,,1.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,,,19.0,2.0,1.0,1.0,1.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,,,11.0,4.0,1.0,1.0,
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,,15.0,1.0,,,1.0
SYNTHETIC_XFL_2023_W9_DEFENDERS,2023-04-16,2023,9,XFL,DEFENDERS,RENEGADES,0.0,1.0,,,,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,27.0,1.0,,,
