game_id,date,season,week,league,away,home,assists,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,1.0,2.0,1.0,13.0,,8.0,2.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,,2.0,4.0,17.0,3.0,16.0,1.0
