game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,recv_lg,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,,32.0,25.0,2.0,,8.0,2.0,3.0,278.0,,,,,,,,,,,3.0,10.0,,22.0,,,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,28.0,16.0,,21.0,8.0,1.0,,151.0,,,8.0,8.0,8.0,,,,,,4.0,12.0,1.0,26.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,1.0,1.0,,41.0,27.0,2.0,45.0,1.0,1.0,3.0,359.0,,,,,,,,,,,1.0,4.0,,4.0,,,,,
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,,1.0,1.0,,46.0,,,,46.0,,,,,,,,,,,4.0,3.0,1.0,6.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,37.0,27.0,,,23.0,2.0,3.0,318.0,,,,,,,,,,,3.0,6.0,,10.0,,,,,
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,,27.0,19.0,1.0,41.0,25.0,3.0,,208.0,,,,,,,,,,,1.0,8.0,,8.0,,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,,39.0,26.0,2.0,26.0,32.0,4.0,,248.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,,38.0,31.0,,39.0,,,3.0,391.0,,,,,,,,,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,,39.0,29.0,2.0,,25.0,4.0,2.0,367.0,,,,,,,,,,,3.0,15.0,,20.0,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,5.0,3.0,,31.0,,,1.0,40.0,,,,,,,,,,,3.0,15.0,,20.0,,,,,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,10.0,,,,,
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,,46.0,27.0,3.0,44.0,27.0,4.0,,335.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,11.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,8.0,,,,,
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,32.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,7.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,,,,41.0,24.0,1.0,33.0,6.0,1.0,,326.0,,,,,,,,,,,8.0,11.0,1.0,29.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,,,28.0,19.0,,,7.0,1.0,2.0,320.0,,,,,,,,,,,4.0,19.0,,28.0,,,,,
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,,46.0,32.0,,,10.0,1.0,4.0,438.0,,,,,,,,,,,3.0,5.0,,7.0,,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,,33.0,27.0,,,6.0,2.0,2.0,338.0,,,,,,42.0,1.0,,,42.0,8.0,15.0,,48.0,,,,,
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,,37.0,28.0,,42.0,16.0,2.0,1.0,318.0,,,,,,40.0,1.0,1.0,4.0,40.0,7.0,,1.0,88.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,7.0,,,,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_20_EDM@HAM,2017-07-20,2017,1,CFL,EDM,HAM,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,15.0,7.0,1.0,21.0,,,,77.0,,,,,,,,,,,3.0,18.0,,43.0,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,7.0,,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,4.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,,12.0,7.0,,22.0,9.0,1.0,,68.0,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,,,,48.0,28.0,2.0,,,,1.0,328.0,,,,,,,,,,,9.0,15.0,,62.0,,,,,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,,,35.0,23.0,,31.0,28.0,3.0,2.0,226.0,,,,,,,,,,,2.0,4.0,,6.0,,,,,
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,,32.0,18.0,,,16.0,4.0,2.0,288.0,,,,,,,,,,,5.0,12.0,,32.0,,,,,
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,33.0,19.0,1.0,,13.0,1.0,1.0,219.0,,,,,,,,,,,2.0,8.0,,11.0,,,,,
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,,31.0,17.0,,37.0,9.0,1.0,,231.0,,,,,,,,,,,7.0,29.0,,73.0,,,,,
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,30.0,21.0,2.0,,19.0,2.0,4.0,338.0,,,,,,,,,,,2.0,12.0,,16.0,,,,,
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,,34.0,23.0,1.0,43.0,,,3.0,342.0,,,,,,,,,,,1.0,14.0,,14.0,,,,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,,48.0,25.0,2.0,27.0,,,,243.0,,,,,,,,,,,1.0,13.0,,13.0,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,19.0,14.0,,44.0,,,3.0,259.0,,,,,,,,,,,1.0,9.0,,9.0,,,,,
