game_id,date,season,week,league,away,home,receiving_yards,receptions,rushing_yards
SYNTHETIC_50YARD_2026_W2_TUCSONSUGARSKULLS,2026-05-10,2026,2,50YARD,Tucson Sugar Skulls,Arizona Rattlers,24.0,2.0,
SYNTHETIC_50YARD_2026_W3_TUCSONSUGARSKULLS,2026-05-15,2026,3,50YARD,TUCSON SUGAR SKULLS,QUAD CITY STEAMWHEELERS,,,6.0
