game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,15.0,12.0,11.0,43.0,38.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,11.0,6.0,12.0,39.0,36.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,6.0,10.0,42.0,34.0,4.0,189.0
