game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,,1.0,,1.0,,-3.0,1.0,5.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,5.0,,32.0,2.0,25.0,-2.0,39.0,9.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,,2.0,19.0,1.0,7.0,,16.0,3.0
