game_id,date,season,week,league,away,home,def_solo,def_tot
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,2.0,2.0
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,2.0,2.0
FOOTBALL_CFL_2019_11_17_EDM@HAM,2019-11-17,2019,1,CFL,EDM,HAM,1.0,1.0
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,1.0,1.0
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,2.0,2.0
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,1.0,1.0
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,7.0,7.0
FOOTBALL_CFL_2021_8_6_BC@SSK,2021-08-06,2021,1,CFL,BC,SSK,2.0,2.0
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,7.0,7.0
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,3.0,3.0
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,3.0,3.0
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,2.0,2.0
