game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,0.0,120.0,4.0,,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,2.0,81.0,5.0,,
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,0.0,115.0,6.0,,
9889301,2023-07-09,2023,5,CFL,MTL,BC,,0.0,72.0,8.0,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,0.0,70.0,7.0,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,0.0,37.0,3.0,,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,0.0,106.0,5.0,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,1.0,56.0,1.0,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,0.0,0.0,116.0,9.0,0.0,1.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,0.0,55.0,5.0,,
9889330,2023-09-02,2023,13,CFL,BC,MTL,,1.0,143.0,7.0,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,0.0,45.0,6.0,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,0.0,41.0,4.0,,
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,0.0,40.0,3.0,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,0.0,57.0,5.0,,
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,0.0,0.0,0.0,,
11824046,2025-06-06,2025,1,CFL,TOR,MTL,,0.0,51.0,5.0,,
11824050,2025-06-13,2025,2,CFL,MTL,OTT,,0.0,103.0,5.0,,
11824053,2025-06-19,2025,3,CFL,MTL,EDM,,0.0,31.0,2.0,,
11824068,2025-07-17,2025,7,CFL,TOR,MTL,,0.0,46.0,3.0,,
11824072,2025-07-24,2025,8,CFL,MTL,CGY,,0.0,65.0,6.0,,
11824096,2025-09-06,2025,14,CFL,HAM,MTL,,0.0,45.0,3.0,,
11824102,2025-09-13,2025,15,CFL,MTL,SSK,,0.0,39.0,3.0,,
11824103,2025-09-19,2025,16,CFL,MTL,TOR,,0.0,47.0,3.0,,
11824107,2025-09-26,2025,17,CFL,CGY,MTL,,0.0,17.0,4.0,,
11824117,2025-10-13,2025,19,CFL,OTT,MTL,,1.0,87.0,5.0,,
11824120,2025-10-18,2025,20,CFL,MTL,OTT,,1.0,108.0,5.0,,
11824124,2025-10-25,2025,21,CFL,MTL,WPG,,0.0,35.0,4.0,,
