game_id,date,season,week,league,away,home,def_ff,def_pd,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,2.0,6.0,10.0,,147.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,19.0,1.0,3.0,9.0,1.0,99.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,12.0,26.0,5.0,376.0,1.0
