game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,1.0,7.0,13.0,2.0,2.0,88.0,5.0,1.0,3.0,1.0,1.0,4.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,1.0,6.0,6.0,2.0,,-1.0,1.0,,,,,
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,,,,1.0,,,1.0,1.0,81.0,6.0,,,,,3.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,,,,,-5.0,-5.0,1.0,,1.0,1.0,,,,,
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,,1.0,1.0,1.0,,56.0,3.0,,,,,2.0
1-brahmas-battlehawks,2023-02-19,2023,1,XFL,BATTLEHAWKS,BRAHMAS,,1.0,,,,,,,,,,,,,
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,,,,,1.0,49.0,4.0,,,,,
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,,,,,,,,37.0,4.0,,,,,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,,,,,,,,12.0,2.0,,,,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,,,,,,,26.0,4.0,,,,,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,,,,,29.0,3.0,,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,,,,,28.0,2.0,,,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,,,,,17.0,2.0,,,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,,,,,,12.0,2.0,,,,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,,,,,13.0,2.0,,,,,
SYNTHETIC_XFL_2023_W9_BATTLEHAWKS,2023-04-16,2023,9,XFL,BATTLEHAWKS,SEA DRAGONS,0.0,,0.0,,,,,,,,,,,,
