game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,11.0,,,8.0,6.0,,,,17.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,18.0,,,13.0,8.0,,2.0,,26.0,3.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,15.0,,,15.0,13.0,,,,28.0,1.0,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,1.0,1.0,1.0,,0.0,1.0,,1.0,,,1.0,1.0
